manufacturer,product name,precio iva incluido,stock,product url,category,product ID,aÃ±ada,formato,Tipo de Crianza,ean,meses en barrica,Proveedor,uvas,sku,Denominacion de Origen,tipo de vino,tipo de destilado,tipo de tequila,Estilo de cerveza,Tipo de cereal de la cerveza,Estilo de Ginebra,Familia de cerveza,Tipo de Whisky,Tipo de Champagne,Tipo de Gourmet,Medida,Volumen de medida,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
Tequila Don Julio,Tequila Don Julio Blanco,82.34,1,https://vinopremier.com/tequila-don-julio-blanco.html,Tequila Blanco,4668,,70.0,,5000281056272,,Carbonicas Alvarez S.L.,,TEQUILA-DON-JULIO-BLANCO,,Tequila,Tequila,Tequila Blanco,,,,,,,,,,,,,,
Grey Goose,Vodka Grey Goose,54.03,1,https://vinopremier.com/vodka-grey-goose.html,Vodkas,4675,,70.0,,5010677850100,,"COMERCIAL LUDASI, S.L.",,VODKA-GREY-GOOSE,,Vodka,Vodka,,,,,,,,,cl.,70,,,,,
Varma,Vodka Moskovskaya,12.1,1,https://vinopremier.com/vodka-moskovskaya.html,Vodkas,4678,,70.0,,4750021001109,,IMPORTACIONES Y EXPORTACIONES VARMA SA,,VODKA-MOSKOVSKAYA,,Vodka,Vodka,,,,,,,,,,,,,,,
Smirnoff,Vodka Smirnoff,14.52,1,https://vinopremier.com/vodka-smirnoff.html,Vodkas,4695,,70.0,,5410316083607,,Carbonicas Alvarez S.L.,,VODKA-SMIRNOFF,,Vodka,Vodka,,,,,,,,,,,,,,,
Cointreau,Licor Cointreau,24.5,1,https://vinopremier.com/licor-cointreau.html,Licores y Orujos,4712,,70.0,,3035542004206,, Amer Global Brands S.L,,LICOR-COINTREAU,,Licor,Licor,,,,,,,,,,,,,,,
Varma,Licor Drambuie,28.74,1,https://vinopremier.com/licor-drambuie.html,Licores y Orujos,4720,,70.0,,5010391100703,,Carbonicas Alvarez S.L.,,LICOR-DRAMBUIE,,Licor,Licor,,,,,,,,,cl.,70,,,,,
Pardela Wines,Champagne ThiÃ©not Classic Brut RosÃ©,90.75,1,https://vinopremier.com/champagne-thienot-classic-brut-rose.html,Argataca,4753,Sin AÃ±ada,75.0,,3419452000365,,PARDELA WINES ESPAÃ‘A S.L. ,Pinot Noir,CH-THIENOT-CL-BRUT-ROSE-750-ML,Champagne A.O.C.,Champagne,,,,,,,,RosÃ©,,cl.,75,,,,,
Lagar de Besada,Aguardiente CaÃ±a de BaladiÃ±a,21.78,1,https://vinopremier.com/aguardiente-ca-a-de-baladi-a.html,Destilados,4978,,500.0,,8437001753895,,"Lagar De Besada, S.L.",,AGUARDIENTECANADEBALADINA,,Licor,Licor,,,,,,,,,ml.,500,,,,,
Guarachi Family Wines,Ginebra SENNS,37.51,1,https://vinopremier.com/ginebra-senns.html,Destilados,5366,,70.0,,8436544630151,,"Magna Hispana, S.L.",,GINEBRA-SENNS,,Ginebra,Ginebra,,,,London Dry Gin,,,,,cl.,70,,,,,
Reboreda de MorgadÃ­o,Estuche Individual Licor de Hierbas Lauro de Nobleza 35cl,24.56,1,https://vinopremier.com/estuche-individual-orujo-lauro-de-nobleza-hierbas-35cl.html,Licores y Orujos,5543,,35.0,,8414313000442,,BODEGAS CAMPANTE,,EST-INDV-ORUJO-LAURODENOBLEZA-HIERBAS-35,,Licor,Licor,,,,,,,,,,,,,,,
Reboreda de MorgadÃ­o,Estuche Individual Licor CafÃ© Descafeinado Lauro de Nobleza 35cl,24.56,1,https://vinopremier.com/estuche-individual-licor-cafe-descafeinado-lauro-de-nobleza-35cl.html,Licores y Orujos,5545,,35.0,,8414313000466,,BODEGAS CAMPANTE,,EST-INDV-LICOR-CAF-DESCAFI-LAURODENOBLEZ,,Licor,Licor,,,,,,,,,,,,,,,
Spenly Spirits & Wines,Ginebra Zeeland,19.6,1,https://vinopremier.com/ginebra-zeeland.html,Ginebras,5548,,70.0,,8422711810006,,"SPENLY PARTNERS SPIRITS, S.L.",,GINZEELAND,,Ginebra,Ginebra,,,,,,,,,cl.,70,,,,,
MG Wines Group,Cerveza Artesana Er Boqueron 75cl,7.44,1,https://vinopremier.com/cerveza-artesana-er-boqueron-75.html,Cervezas Artesanas,5566,,75.0,,8437013487160,,,,CERVEZA-ARTESANA-ER-BOQUERON-75,,Cerveza,,,,Cebada,,Ale,,,,,,,,,,
Osborne,Champagne Piper Heidsieck Rose,50.88,1,https://vinopremier.com/champagne-piper-heidsieck-rose.html,Champagne,5641,Sin AÃ±ada,75.0,,3018336150006,,OSBORNE DISTRIBUIDORA S.A,,CH-PIPER-HEIDSIECK-ROSE,Champagne A.O.C.,Champagne,,,,,,,,RosÃ©,,,,,,,,
Osborne,Champagne Piper Heidsieck Rare,286.29,1,https://vinopremier.com/champagne-piper-heidsieck-rare.html,Champagne,5645,2006,75.0,,3018333002674,,OSBORNE DISTRIBUIDORA S.A,,CH-PIPER-HEIDSIECK-RARE,Champagne A.O.C.,Champagne,,,,,,,,,,,,,,,,
"Casa TradiciÃ³n, S.A. de C.V.",Tequila Clase Azul Reposado 70 cl,217.5,1,https://vinopremier.com/tequila-clase-azul-reposado-70-cl.html,Tequila Reposado,5679,,70.0,,1230000130011,,Carbonicas Alvarez S.L.,,TEQUILA-CLASE-AZUL-REPOSADO-70-CL,,Tequila,Tequila,Tequila Reposado,,,,,,,,,70,,,,,
La Sagra,Cerveza Artesana La Sagra Premium Rubia,2.96,1,https://vinopremier.com/cerveza-artesana-la-sagra-premium-rubia.html,Cervezas Artesanas,5849,,33.0,,8437011685018,,LA SAGRA MC S.L.,,CERVEZA-ARTESANA-LA-SAGRA-PREMIUM,,Cerveza,,,Blond Ale,,,Ale,,,,cl.,33,,,,,
La Sagra,Cerveza Artesana La Sagra Criolla - Roja,2.96,1,https://vinopremier.com/cerveza-artesana-la-sagra-roja.html,Cervezas Artesanas,5850,,33.0,,8437011685032,,LA SAGRA MC S.L.,,CERVEZA-ARTESANA-LA-SAGRA-ROJA,,Cerveza,,,Red Ale,Cebada,,Ale,,,,cl.,33,,,,,
La Sagra,Cerveza Artesana La Sagra Flanders Blanca de Trigo,2.96,1,https://vinopremier.com/cerveza-artesana-la-sagra-flanders-blanca-de-trigo.html,Cervezas Artesanas,5851,,33.0,,8437011685094,,LA SAGRA MC S.L.,,CERVEZA-ARTESANA-LA-SAGRA-BLANCA-DE-TRIGO,,Cerveza,,,Belgian White,Trigo,,Ale,,,,cl.,33,,,,,
Estrella Galicia,Caja de 24 Tercios Cerveza Estrella Galicia 1906 Reserva Especial,72.6,1,https://vinopremier.com/cerveza-estrella-galicia-1906-reserva-especial-33cl.html,Cervezas Industriales,5983,,24.0,,8412598005138,,"Julio Pastor, S.A.",,CAJA-25-ES-GALICIA-1906-RVA-ESP,,Cerveza,,,,,,,,,,,,,,,,
Estrella Galicia,Caja de 24 Cervezas Estrella Galicia Sin Gluten 25cl.,63.4,1,https://vinopremier.com/cerveza-estrella-galicia-sin-gluten-33cl.html,Cervezas Industriales,5986,,24.0,,8412598007323,,"Julio Pastor, S.A.",,CAJA-24-CE-ES-GA-SIN-GLUTEN-25,,Cerveza,,,Pilsner,Cebada,,Lager,,,,cl.,25,,,,,
Herrero Bodega,Ginebra Strawberry Blue Eyes,11.13,1,https://vinopremier.com/ginebra-strawberry-blue-eyes.html,Vinos Para Halloween - 15%,5993,,70.0,,8413241773206,,,,GINEBRA-STRAWBERRY-BLUE-EYES,,Ginebra,Ginebra,,,,AromÃ¡tica o afrutada,,,,,cl.,70,,,,,
Cerveses La Pirata,Cerveza Artesana Viakrucis,2.9,1,https://vinopremier.com/cerveza-artesana-viakrucis.html,Cervezas Artesanas,5996,,33.0,,8437015661025,,CERVESES LA PIRATA S.L,,CERVEZA-ARTESANA-VIAKRUCIS,,Cerveza,,,American IPA,,,Ale,,,,cl.,33,,,,,
Cerveses La Pirata,Cerveza Artesana Black Block,3.63,1,https://vinopremier.com/cerveza-artesana-black-block.html,Cervezas Artesanas,5997,,33.0,,8437015661056,,CERVESES LA PIRATA S.L,,CERVEZA-ARTESANA-BLACK-BLOCK,,Cerveza,,,,,,Ale,,,,cl.,33,,,,,
Maxxium,Ginebra Premium Bols Zeer Oude,25.29,1,https://vinopremier.com/ginebra-premium-bols-zeer-oude.html,Destilados,6319,,1.0,,8716000960566,,Carbonicas Alvarez S.L.,,GINEBRA-BOLS-ZEER-OUDE,,Licor,Ginebra,,,,London Dry Gin,,,,,,,,,,,
Bacardi Limited,Ron Bacardi 8 AÃ±os,35.63,1,https://vinopremier.com/ron-bacardi-8-anos.html,Rones,6336,,70.0,,7610113001516,,Carbonicas Alvarez S.L.,,RON-BACARDI-8-ANOS,,Ron,Ron,,,,,,,,,,,,,,,
Osborne,Ron Flor de CaÃ±a Centenario 12 AÃ±os,39.33,1,https://vinopremier.com/ron-flor-de-ca-a-centenario-12-anos.html,Rones,6340,,70.0,,7431008107003,,Carbonicas Alvarez S.L.,,RONFLORDCAN12,,Ron,Ron,,,,,,,,,,,,,,,
C.A. Ron Santa Teresa,Ron Santa Teresa 1796,59.53,1,https://vinopremier.com/ron-sta-teresa-1796.html,Rones,6345,,70.0,,7591156404819,,Carbonicas Alvarez S.L.,,RON-STA-TERESA-1796,,Ron,Ron,,,,,,,,,cl.,70,,,,,
Tequila Don Julio,Tequila Don Julio 1942 AÃ±ejo,278.84,1,https://vinopremier.com/tequila-don-julio-1942-a-ejo.html,Tequila AÃ±ejo,6349,,70.0,,7506064300344,,Carbonicas Alvarez S.L.,,TEQUILA-DON-JULIO-1942,,Tequila,Tequila,Tequila AÃ±ejo,,,,,,,,,,,,,,
Tequila Corralejo,Tequila Corralejo Reposado,48.94,1,https://vinopremier.com/tequila-corralejo-reposado.html,Tequila Reposado,6353,,70.0,,7503000677232,,Carbonicas Alvarez S.L.,,TEQUILA-CORRALEJO-REPOSADO,,Tequila,Tequila,Tequila Reposado,,,,,,,,cl.,70,,,,,
Williams y Humbert,Brandy Gran Duque de Alba,30.19,1,https://vinopremier.com/brandy-gran-duque-de-alba.html,Brandy y Cognac,6387,,70.0,,8410028530700,,"SOVISUR, S.A.U.",,BRANDY-GRAN-DUQUE-DE-ALBA,,Brandy,Brandy,,,,,,,,,cl.,70,,,,,
Osborne,Brandy Veterano Osborne,12.64,1,https://vinopremier.com/brandy-veterano-osborne.html,Brandy y Cognac,6775,,1.0,,8410337031028,,Carbonicas Alvarez S.L.,,BRANDY-VETERANO-OSBORNE-,,Brandy,Brandy,,,,,,,,,,,,,,,
El Afilador,Licor de Cafe Afilador,11.25,1,https://vinopremier.com/licor-de-cafe-afilador.html,Licores y Orujos,6781,,70.0,,8410978035003,,Carbonicas Alvarez S.L.,,LICOR-DE-CAFE-AFILADOR,,Licor,Licor,,,,,,,,,cl.,70,,,,,
Hennessy,Cognac Hennessy VS,45.68,1,https://vinopremier.com/cognac-hennessy-vs.html,Brandy y Cognac,6796,,70.0,,3245990250203,,Carbonicas Alvarez S.L.,,COGNAC-HENNESSY-VS,,Cognac,Cognac,,,,,,,,,cl.,70,,,,,
Hennessy,Cognac Hennessy XO,274.19,1,https://vinopremier.com/cognac-hennessy-xo.html,Brandy y Cognac,6797,,70.0,,3245990001218,,Carbonicas Alvarez S.L.,,COGNAC-HENNESSY-XO,,Cognac,Cognac,,,,,,,,,,,,,,,
Licores Ruavieja,Crema de Orujo Ruavieja,15.97,1,https://vinopremier.com/crema-de-orujo-ruavieja.html,Los MÃ¡s Vendidos del aÃ±o,6812,,70.0,,8412006107157,,Carbonicas Alvarez S.L.,,CREMA-DE-ORUJO-RUAVIEJA,,Licor,Licor,,,,,,,,,,,,,,,
Licores Ruavieja,Licor de CafÃ© Ruavieja,14.64,1,https://vinopremier.com/licor-de-cafe-ruavieja.html,Licores y Orujos,6820,,70.0,,8412006105009,,Carbonicas Alvarez S.L.,,LICOR-DE-CAFE-RUAVIEJA,,Licor,Licor,,,,,,,,,cl.,70,,,,,
Varma,Licor Pazo ValdomiÃ±o de Cafe,24.14,1,https://vinopremier.com/licor-de-cafe-pazo-de-valdomino.html,Licores y Orujos,6826,,70.0,,8435031810731,,IMPORTACIONES Y EXPORTACIONES VARMA SA,,LICOR-DE-CAFE-VALDOMINO-70CL-1,,Licor,Licor,,,,,,,,,,,,,,,
Varma,Licor de Cilantro ValdomiÃ±o,16.34,1,https://vinopremier.com/licor-de-ceilantro-valdomino.html,Licores y Orujos,6832,,70.0,,8435031810847,,IMPORTACIONES Y EXPORTACIONES VARMA SA,,LICOR-DE-CILANTRO-VALDOMINO,,Licor,Licor,,,,,,,,,cl.,70,,,,,
Brokers Gin,Ginebra Brokers,22.69,1,https://vinopremier.com/ginebra-broker-s.html,Ginebras,6835,,70.0,,5060017740011,,Carbonicas Alvarez S.L.,,GINEBRA-BROKERS,,Ginebra,Ginebra,,,,London Dry Gin,,,,,,,,,,,
Crystal Head Vodka,Vodka Crystal Head Aurora,62.25,1,https://vinopremier.com/vodka-crystal-head-aurora.html,Vodkas,6836,,70.0,,627040411964,,MARTINS BRANDS S.L.,,VODKA-CRYSTAL-HEAD-AURORA,,Vodka,Vodka,,,,,,,,,,,,,,,
Qantima Group,Ginebra Sikkim Fraise Distilled,34.61,1,https://vinopremier.com/ginebra-sikkim-fraise.html,Ginebras,6842,,70.0,,8412145901203,,Nogalia Distillery S.L,,GINEBRA-SIKKIM-FRAISE-DISTILLED,,Ginebra,Ginebra,,,,AromÃ¡tica o afrutada,,,,,cl.,70,,,,,
Qantima Group,Ginebra Sikkim Bilberry,34.61,1,https://vinopremier.com/ginebra-sikkim-bilberry.html,Ginebras,6843,,70.0,,8412145901104,,Nogalia Distillery S.L,,GINEBRA-SIKKIM-BILBERRY,,Ginebra,Ginebra,,,,AromÃ¡tica o afrutada,,,,,cl.,70,,,,,
Thames Distillers,Ginebra Fifty Pounds,23.29,1,https://vinopremier.com/ginebra-fifty-pounds.html,Ginebras,6844,,70.0,,8410161202250,,Carbonicas Alvarez S.L.,,GINEBRA-FIFTY-POUNDS,,Ginebra,Ginebra,,,,London Dry Gin,,,,,cl.,70,,,,,
Ciroc,"Vodka Ciroc Coconut 0,7L",41.5,1,https://vinopremier.com/vodka-ciroc-coconut.html,Vodkas,6846,,70.0,,5010103995641,,LAFUENTE LORENZO S.A.,,VODKA-CIROC-COCONUT,,Vodka,Vodka,,,,,,,,,cl.,70,,,,,
,Ginebra Greenalls,15.67,1,https://vinopremier.com/ginebra-greenall-s.html,Ginebras,6850,,70.0,,5010296160321,,,,GINEBRA-GREENALLS,,Ginebra,Ginebra,,,,London Dry Gin,,,,,,,,,,,
Spiritsland ,Ginebra London Dry Blue Ribbon Essential,31.34,1,https://vinopremier.com/ginebra-blue-ribbon-0-7l.html,Ginebras,6857,,70.0,,8438001405548,,Carbonicas Alvarez S.L.,,Ginebra-Blue-Ribbon-0.7L,,Ginebra,Ginebra,,,,,,,,,cl.,70,,,,,
Gonzalez Byass,Ginebra Mom,31.16,1,https://vinopremier.com/ginebra-mom.html,Ginebras,6859,,70.0,,8410023032230,,Carbonicas Alvarez S.L.,,GINEBRA-MOM,,Ginebra,Ginebra,,,,,,,,,cl.,70,,,,,
El Afilador,"Licor de Hierbas Afilador 0,75L",10.47,1,https://vinopremier.com/licor-de-hierbas-afilador.html,Licores y Orujos,6861,,70.0,,8410978022119,,Carbonicas Alvarez S.L.,,LICOR-DE-HIERBAS-AFILADOR,,Licor,Licor,,,,,,,,,cl.,70,,,,,
Carril,Licor de Hierbas Carril,10.22,1,https://vinopremier.com/licor-de-hierbas-carril.html,Licores y Orujos,6863,,70.0,,8410490260587,,Carbonicas Alvarez S.L.,,LICOR-DE-HERBIAS-CARRIL,,Licor,Licor,,,,,,,,,cl.,70,,,,,
Gonzalez Byass,Ginebra The London nÂº1,33.03,1,https://vinopremier.com/ginebra-london-n-1.html,Ginebras,6869,,70.0,,8410023023719,,Carbonicas Alvarez S.L.,,GINEBRALONDONN1,,Ginebra,Ginebra,,,,,,,,,cl.,70,,,,,
Bodegas Mar de Frades,Licor de Hierbas Mar de Frades,18.88,1,https://vinopremier.com/licor-de-herbias-mar-de-frades.html,Licores y Orujos,6870,,70.0,,8436024581034,,Carbonicas Alvarez S.L.,,LICOR-DE-HIERBAS-MAR-DE-FRADES,,Licor,Licor,,,,,,,,,cl.,70,,,,,
Maxxium,Ginebra nÂº3,41.38,1,https://vinopremier.com/ginebra-n-3.html,Ginebras,6873,,70.0,,5010493025775,,Carbonicas Alvarez S.L.,,GINEBRAN3,,Ginebra,Ginebra,,,,,,,,,,,,,,,
Varma,Licor de Hierbas ValdomiÃ±o,22.45,1,https://vinopremier.com/licor-de-hierbas-valdomi-o.html,Licores y Orujos,6874,,70.0,,8435031810724,,IMPORTACIONES Y EXPORTACIONES VARMA SA,,LICOR-DE-HIERBAS-VALDOMINO,,Licor,Licor,,,,,,,,,cl.,70,,,,,
Varma,Licor Grappa Libarna,19.78,1,https://vinopremier.com/licor-grappa-libarna.html,Grappa,6875,,70.0,,8000330130356,,IMPORTACIONES Y EXPORTACIONES VARMA SA,,LICOR-GRAPPA-LIBARNA,,Licor,Licor,,,,,,,,,,,,,,,
Bodegas Mar de Frades,Orujo Blanco Mar de Frades,19.84,1,https://vinopremier.com/orujo-blanco-mar-de-frades.html,Licores y Orujos,6884,,70.0,,8436024581027,,Carbonicas Alvarez S.L.,,ORUJO-BLANCO-MAR-DE-FRADES,,Licor,Licor,,,,,,,,,cl.,70,,,,,
Licores Ruavieja,Orujo Blanco Ruavieja,17.12,1,https://vinopremier.com/orujo-blanco-ruavieja-0-7-l.html,Licores y Orujos,6886,,70.0,,8412006101155,,Carbonicas Alvarez S.L.,,ORUJO-BLANCO-RUAVIEJA,,Licor,Licor,,,,,,,,,cl.,70,,,,,
Varma,Orujo Blanco ValdomiÃ±o,25.47,1,https://vinopremier.com/orujo-blanco-valdomino.html,Licores y Orujos,6887,,70.0,,8435031810717,,IMPORTACIONES Y EXPORTACIONES VARMA SA,,ORUJO-BLANCO-VALDOMINO,,Licor,Licor,,,,,,,,,cl.,70,,,,,
Marie Brizard,Anis Marie Brizard,12.4,1,https://vinopremier.com/anis-marie-brizard.html,Licores y Orujos,6893,,1.0,,8410643001234,,BARDINET S.A.,,ANIS-MARIE-BRIZARD,,Licor,Licor,,,,,,,,,,70,,,,,
Maxxium,Ginebra Larios RosÃ©,19.54,1,https://vinopremier.com/ginebra-larios-rose.html,Destilados,6915,,70.0,,8411144100402,,Carbonicas Alvarez S.L.,,GINEBRA-LARIOS-ROSE,,Ginebra,Ginebra,,,,,,,,,,,,,,,
DestilerÃ­as Pedro GirÃ³,Ginebra GirÃ³,17.48,1,https://vinopremier.com/ginebra-giro.html,Destilados,6925,,70.0,,8410490265537,,Carbonicas Alvarez S.L.,,GINEBRA-GIRO,,Ginebra,Ginebra,,,,,,,,,,,,,,,
Tequila Jose Cuervo,Tequila Jose Cuervo Reserva de Familia,196.93,1,https://vinopremier.com/tequila-jose-cuervo-reserva-de-familia.html,Tequilas,6927,,70.0,,7501035010666,,LICORES REYES S.L.U,,TEQUILA-JOSE-CUERVO-RESERVA-DE-FAMILIA,,Tequila,Tequila,Tequila Reserva Especial,,,,,,,,cl.,70,,,,,
Beefeater,Ginebra Beefeater,19.48,1,https://vinopremier.com/ginebra-beefeater.html,Ginebras,6929,,70.0,,5000299605042,,Carbonicas Alvarez S.L.,,GINEBRA-BEEFEATER,,Ginebra,Ginebra,,,,London Dry Gin,,,,,,,,,,,
Pimms Spirits Drinks,Licor Pimms nÂº1,31.4,1,https://vinopremier.com/licor-pimm-s-n-1.html,Licores y Orujos,6932,,1.0,,5010262100030,,Carbonicas Alvarez S.L.,,LICOR-PIMMS-N1,,Licor,Licor,,,,,,,,,,,,,,,
,Tequila Jose Cuervo Blanco,20.45,1,https://vinopremier.com/tequila-jose-cuervo-blanco.html,Tequila Blanco,6936,,70.0,,5054637354222,,Carbonicas Alvarez S.L.,,TEQUILA-JOSE-CUERVO-BLANCO,,Tequila,Tequila,Tequila Blanco,,,,,,,,cl.,70,,,,,
Beremot,Vodka Beremot,20.03,1,https://vinopremier.com/vodka-beremot.html,Vodkas,6961,,70.0,,8437015730103,,Carbonicas Alvarez S.L.,,VODKA-BEREMOT,,Vodka,Vodka,,,,,,,,,cl.,70,,,,,
Beremot,Vodka Beremot Pink Pop Strawberry,20.99,1,https://vinopremier.com/vodka-beremot-pink-pop-strawberry.html,Vodkas,6989,,70.0,,8437015730080,,Carbonicas Alvarez S.L.,,VODKA-BEREMOT-PINK-POP-STRAWBERRY,,Vodka,Vodka,,,,,,,,,cl.,70,,,,,
LEGENDARIO S.L.,Ron Legendario Elixir,19.84,1,https://vinopremier.com/ron-legendario-elixir-7-a-os.html,Rones,7026,,70.0,,8500000191026,,Carbonicas Alvarez S.L.,,RON-LEGENDARIO-ELIXIR-7-ANOS,,Ron,Ron,,,,,,,,,cl.,70,,,,,
Matusalem,Ron Matusalem AÃ±ejo,20.27,1,https://vinopremier.com/ron-matusalem-a-ejo.html,Rones,7028,,70.0,,766094080051,,Carbonicas Alvarez S.L.,,RON-MATUSALEM-ANEJO,,Ron,Ron,,,,,,,,,,,,,,,
Beam Suntory,Bourbon Bakers,73.81,1,https://vinopremier.com/bourbon-baker-s.html,Whiskys / Bourbons,7034,,70.0,,5060045585097,,Carbonicas Alvarez S.L.,,BOURONBAKERS,,Bourbon,Whisky,,,,,,Bourbon,,,cl.,70,,,,,
Matusalem,Ron Matusalem 23 aÃ±os,70.42,1,https://vinopremier.com/ron-matusalem-23-anos.html,Rones,7057,,70.0,,766094110055,,Carbonicas Alvarez S.L.,,RON-MATUSALEM-23-ANOS,,Ron,Ron,,,,,,,,,,,,,,,
Plantation Rum,Ron Plantation 3 Star,23.47,1,https://vinopremier.com/ron-plantation-3-star.html,Rones,7072,,70.0,,3460410530806,,Carbonicas Alvarez S.L.,,RON-PLANTATION-3-STAR,,Ron,Ron,,,,,,,,,cl.,70,,,,,
,Cerveza Mahou 5 Estrellas. Caja 24 Latas de 33cl.,47.25,1,https://vinopremier.com/cerveza-mahou-33cl-24ud.html,Cervezas Industriales,7074,,33.0,,8411327007177,,VOLDISTRIBUCION MADRID S.A.,,Cerveza-Mahou-5-Estrellas-33cl-24ud,,Cerveza,,,Pilsner,,,Lager,,,,,,,,,,
Plantation Rum,Ron Plantation 20 Aniversario,72.48,1,https://vinopremier.com/ron-plantation-20-aniversario.html,Rones,7075,,70.0,,3460410528025,,Carbonicas Alvarez S.L.,,RON-PLANTATION-20-ANIVERSARIO,,Ron,Ron,,,,,,,,,,,,,,,
Plantation Rum,Ron Plantation Original Dark,24.26,1,https://vinopremier.com/ron-plantation-original-dark.html,Rones,7082,,70.0,,3460410524423,,Carbonicas Alvarez S.L.,,RON-PLANTATION-ORIGINAL-DARK,,Ron,Ron,,,,,,,,,,,,,,,
Williams y Humbert,Ron Dos Maderas PX 5+5,33.64,1,https://vinopremier.com/ron-dos-maderas-px-5-5.html,Rones,7098,,70.0,,8410028000814,,"SOVISUR, S.A.U.",,RON-DOS-MADERAS-PX-5+5,,Ron,Ron,,,,,,,,,cl.,70,,,,,
DestilerÃ­as Arehucas,Ron Arehucas Carta Oro,14.16,1,https://vinopremier.com/ron-arehucas-carta-oro.html,Rones,7108,,70.0,,8410382001038,,Carbonicas Alvarez S.L.,,RON-AREHUCAS-CARTA-ORO,,Ron,Ron,,,,,,,,,cl.,70,,,,,
DestilerÃ­as Arehucas,Ron Arehucas Carta Blanca,15.06,1,https://vinopremier.com/ron-arehucas-carta-blanca.html,Rones,7110,,70.0,,8410382001021,,Carbonicas Alvarez S.L.,,RON-AREHUCAS-CARTA-BLANCA,,Ron,Ron,,,,,,,,,,,,,,,
Emperador Distillers,Ponche Soto,11.43,1,https://vinopremier.com/ponche-soto.html,Default Category,7117,,1.0,,8410162450001,,BARDINET S.A.,,PONCHE-SOTO-1L,,Licor,Licor,,,,,,,,,,,,,,,
Luis Caballero,Ponche Caballero,13.92,1,https://vinopremier.com/ponche-caballero.html,Licores y Orujos,7119,,70.0,,8410863023009,,LUIS CABALLERO COMERCIAL Y DISTRIBUCIÃ“N S.A.,,PONCHE-CABALLERO,,Licor,Licor,,,,,,,,,,,,,,,
Glenmorangie Distillery,Whisky Glenmorangie The Original 10 AÃ±os,39.87,1,https://vinopremier.com/whisky-glenmorangie-the-original-10-a-os.html,Default Category,7146,,70.0,,5010494560282,,Carbonicas Alvarez S.L.,,WHIGLEORI,,Whisky,Whisky,,,,,,,,,,,,,,,
Tacama,Pisco Demonio Andes Albilla 0.7L,28.74,1,https://vinopremier.com/pisco-demonio-andes-albilla-0-7l.html,Piscos,7158,,70.0,,7750359000505,,Carbonicas Alvarez S.L.,,PISCO-DEMONIO-ANDES-ALBILLA-0.7L,,Pisco,Pisco,,,,,,,,,,,,,,,
Licores Baines,Pacharan Oro Baines,25.17,1,https://vinopremier.com/pacharan-oro-baines.html,Licores y Orujos,7167,,70.0,,8413004010128,,Carbonicas Alvarez S.L.,,PACHARAN-ORO-BAINES,,Licor,Licor,,,,,,,,,,70,,,,,
Licores Baines,Pacharan Baines 1L.,22.93,1,https://vinopremier.com/pacharan-baines.html,Licores y Orujos,7169,,70.0,,8413004010227,,Carbonicas Alvarez S.L.,,PACHARAN-BAINES,,Licor,Licor,,,,,,,,,,70,,,,,
Choya Umeshu,Sake Choya Junmai-Shu,20.57,1,https://vinopremier.com/sake-choya-junmai.html,Sake,7171,,70.0,,4017871800031,,Carbonicas Alvarez S.L.,,SAKE-CHOYA-JUNMAI,,Licor,Licor,,,,,,,,,,70,,,,,
Facile y Co.,Ginebra Imagin,15.25,1,https://vinopremier.com/ginebra-imagin.html,Ginebras,7179,,70.0,,7393393200212,,Carbonicas Alvarez S.L.,,GINEBRA-IMAGIN,,Ginebra,Ginebra,,,,,,,,,cl.,70,,,,,
Grand Marnier,Licor Grand Marnier Rojo,28.37,1,https://vinopremier.com/licor-gran-marnier-rojo.html,Licores y Orujos,7190,,70.0,,3018300004663,,Carbonicas Alvarez S.L.,,GRAND-MARNIER-ROJO,,Licor,Licor,,,,,,,,,,70,,,,,
Brugal,Miniatura Ron Brugal AÃ±ejo Miniatura 5CL.,1.88,1,https://vinopremier.com/miniatura-ron-brugal-anejo.html,Miniaturas de Destilados y Licores,7205,,5.0,,7460855203842,,Carbonicas Alvarez S.L.,,MINIATURA-RON-BRUGAL-ANEJO,,Ron,Ron,,,,,,,,,,,,,,,
Teeling whiskey Co,Whisky Teeling Single Malt,48.52,1,https://vinopremier.com/whisky-teeling-single-malt.html,Whiskys / Bourbons,7211,,70.0,,5000281037479,,MARTINS BRANDS S.L.,,WHISKY-TEELING-SINGLE-MALT,,Whisky,Whisky,,,,,,Malta / Single Malt,,,,,,,,,
Cynar,Licor Cynar,19.78,1,https://vinopremier.com/licor-cynar.html,Licores y Orujos,7214,,1.0,,8002240001009,,Carbonicas Alvarez S.L.,,LICOR-CYNAR,,Licor,Licor,,,,,,,,,,,,,,,
Villa Massa,Licor de Limon Villa Massa 0.7l,16.7,1,https://vinopremier.com/licor-de-limon-villa-massa-0-7l.html,Licores y Orujos,7219,,70.0,,8033413430036,,Carbonicas Alvarez S.L.,,LICOR-DE-LIMON-VILLA-MASSA-0-7L,,Licor,Licor,,,,,,,,,cl.,70,,,,,
Macallan,Whisky Macallan 12 YO Double Cask,85.12,1,https://vinopremier.com/whisky-macallan-double-cask-12-anos.html,Los MÃ¡s Vendidos del aÃ±o,7220,,70.0,,5010314302863,,LICORES REYES S.L.U,,WHISKY-MACALLAN-12-YO-DOUBLE-CASK,,Whisky,Whisky,,,,,,,,,cl.,70,,,,,
